rainfall,river_level,humidity,temperature,previous_floods,risk
149.81604753894499,4.362767366200286,81.09988176929792,34.144337051165216,4,HIGH
380.2857225639665,3.9962088660826294,42.91583969190981,28.778773606025794,0,HIGH
292.797576724562,2.5853852125257406,54.26477860589203,43.934955745918224,3,HIGH
239.46339367881464,6.465400030913392,76.42964458004727,21.569353529527145,2,HIGH
62.407456176974605,5.28961744457766,63.746254116713594,32.63569247996822,4,MEDIUM
62.39780813448106,8.791308930916033,81.69997270444256,36.00630044970668,5,HIGH
23.233444867279786,1.2889862243385242,97.28455308560018,39.766934680361445,5,MEDIUM
346.47045830997405,6.794811347996137,38.158268140063825,27.209130912840212,1,HIGH
240.4460046972835,7.86653990660405,79.66974014786427,35.607657229724445,5,HIGH
283.2290311184182,7.835379122694763,46.12409089424801,24.096044141528484,4,HIGH
8.233797718320979,8.974665703859726,59.013370918529844,28.06428277085461,0,LOW
387.96394086479773,7.561303685465447,32.30039080565979,41.86881393610197,2,HIGH
332.9770563201687,9.350290554829266,39.513516760488926,43.49722827992863,1,HIGH
84.93564427131047,3.9939093983880234,52.384410233422976,36.56452040781794,5,MEDIUM
72.72998688284025,5.528884750763888,53.93900637015895,26.230556723285552,5,HIGH
73.36180394137352,1.126716969546016,92.97096515234671,39.60173369923992,2,LOW
121.69689718381508,1.062618285729621,81.92690364865607,15.776012451762606,2,MEDIUM
209.90257265289515,3.161139584063679,98.05280777309288,18.082377316182633,4,HIGH
172.7780074568463,1.9072647742517672,71.93500572346684,34.84121209126083,5,HIGH
116.49165607921677,3.3419023114217827,46.91996124639226,23.73745725810172,3,MEDIUM
244.7411578889518,2.5933896507555767,52.935852094515,43.54158655201434,5,HIGH
55.797544260816736,1.2566802235478343,52.3885146304377,28.08181836276914,4,LOW
116.85785941408726,9.183737317654444,52.85460293642761,27.88094461167531,1,HIGH
146.5447373174767,1.0740081825000236,77.10749211782709,35.34238530572794,0,MEDIUM
182.42799368681437,7.624739299033768,67.15655496632914,38.027056869185685,5,HIGH
314.07038455720544,2.369330982275649,56.9796924660651,29.266762143754093,4,HIGH
79.8695128633439,9.2100665979964,40.43628381101016,21.420027051351724,3,MEDIUM
205.69377536544465,9.035163456308972,31.549741405950215,38.19925928176865,3,HIGH
236.965827544817,6.885110317323316,45.31842743113848,24.610538246208826,4,HIGH
18.58016508799909,7.050107348205446,37.52299827780769,20.25332307881573,1,MEDIUM
243.01794076057536,1.048052277727197,84.98115215965676,33.9492056977504,3,HIGH
68.20964947491662,9.863844095022419,37.874857046971975,17.71361000971051,3,HIGH
26.020637194111806,8.90049343218233,80.69597661147853,44.14058025258165,5,HIGH
379.5542149013333,9.055956031570828,56.996108284325786,33.97191793236411,5,HIGH
386.25281322982374,6.933200833457848,35.136487282064316,44.57686562765267,1,HIGH
323.35893924658444,4.103082357890829,86.89110346021101,25.166802704359082,1,HIGH
121.84550766934828,9.042837841814327,70.57413991656293,44.136154835711935,1,MEDIUM
